topology_name,format,number_of_nodes,number_of_edges,connected,directed,bandwidth_available,latency_available,source_file
Aarnet,GraphML,19,24,True,False,False,False,data\raw\graphml\graphml\Aarnet.graphml
Abilene,GraphML,11,14,True,False,False,False,data\raw\graphml\graphml\Abilene.graphml
Abvt,GraphML,23,31,True,False,False,False,data\raw\graphml\graphml\Abvt.graphml
Aconet,GraphML,23,31,True,False,False,False,data\raw\graphml\graphml\Aconet.graphml
Agis,GraphML,25,30,True,False,False,False,data\raw\graphml\graphml\Agis.graphml
Ai3,GraphML,10,9,True,False,False,False,data\raw\graphml\graphml\Ai3.graphml
Airtel,GraphML,16,37,True,False,False,False,data\raw\graphml\graphml\Airtel.graphml
Amres,GraphML,25,24,True,False,False,False,data\raw\graphml\graphml\Amres.graphml
Ans,GraphML,18,25,True,False,False,False,data\raw\graphml\graphml\Ans.graphml
Arn,GraphML,30,29,True,False,False,False,data\raw\graphml\graphml\Arn.graphml
Arnes,GraphML,34,47,True,False,False,False,data\raw\graphml\graphml\Arnes.graphml
Arpanet196912,GraphML,4,4,True,False,False,False,data\raw\graphml\graphml\Arpanet196912.graphml
Arpanet19706,GraphML,9,10,True,False,False,False,data\raw\graphml\graphml\Arpanet19706.graphml
Arpanet19719,GraphML,18,22,True,False,False,False,data\raw\graphml\graphml\Arpanet19719.graphml
Arpanet19723,GraphML,25,28,True,False,False,False,data\raw\graphml\graphml\Arpanet19723.graphml
Arpanet19728,GraphML,29,32,True,False,False,False,data\raw\graphml\graphml\Arpanet19728.graphml
AsnetAm,GraphML,65,79,True,False,False,False,data\raw\graphml\graphml\AsnetAm.graphml
Atmnet,GraphML,21,22,True,False,False,False,data\raw\graphml\graphml\Atmnet.graphml
AttMpls,GraphML,25,57,True,False,False,False,data\raw\graphml\graphml\AttMpls.graphml
Azrena,GraphML,22,25,True,False,False,False,data\raw\graphml\graphml\Azrena.graphml
BackboneSerbiaMontenegro,GraphML,6,6,True,False,False,False,data\raw\graphml\graphml\BackboneSerbiaMontenegro.graphml
Bandcon,GraphML,22,28,False,False,False,False,data\raw\graphml\graphml\Bandcon.graphml
Basnet,GraphML,7,6,True,False,False,False,data\raw\graphml\graphml\Basnet.graphml
Bbnplanet,GraphML,27,28,True,False,False,False,data\raw\graphml\graphml\Bbnplanet.graphml
Bellcanada,GraphML,48,65,True,False,False,False,data\raw\graphml\graphml\Bellcanada.graphml
Bellsouth,GraphML,51,66,True,False,False,False,data\raw\graphml\graphml\Bellsouth.graphml
Belnet,GraphML,22,33,True,False,False,False,data\raw\graphml\graphml\Belnet.graphml
